MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20.0,,90,,,NA,IR1,,AllPub,Inside,Gtl,NridgHt,Norm,Norm,,,9.0,5.0,2003.0,,,,VinylSd,VinylSd,None,0,Gd,,PConc,,TA,,GLQ,1274.0,Unf,0.0,622.0,,GasA,Ex,Y,SBrkr,1944.0,0.0,0.0,1944.0,1.0,0.0,2.0,,3.0,,Ex,8.0,Typ,3.0,,Attchd,2003,Fin,3.0,708.0,TA,TA,,208.0,175.0,0.0,0.0,0.0,0.0,NA,NA,,,11.0,,WD,Normal,360000
,RL,,9880.0,Pave,NA,Reg,,AllPub,,Gtl,,Norm,Norm,1Fam,SLvl,6.0,6.0,,,Gable,CompShg,,,None,0,TA,TA,CBlock,TA,TA,,ALQ,522.0,Unf,0.0,574.0,1096.0,GasA,TA,Y,SBrkr,1118.0,,0.0,1118.0,1.0,0.0,1.0,,3.0,1.0,,6.0,Typ,1.0,Po,Attchd,,,1.0,358.0,TA,TA,Y,203.0,0.0,0.0,0.0,0.0,576.0,Gd,,,0.0,,,WD,,171000
120.0,RL,60,7313.0,Pave,NA,Reg,Lvl,AllPub,,,NridgHt,,,,1Story,9.0,5.0,2005.0,,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,,TA,No,GLQ,1153.0,,0.0,408.0,1561.0,GasA,Ex,Y,SBrkr,1561.0,0.0,0.0,,1.0,0.0,,0.0,,,Ex,6.0,Typ,1.0,,,2005,,2.0,,,,Y,203.0,47.0,,0.0,,,NA,,NA,0.0,,2007.0,WD,,277500
20.0,RL,90,11248.0,Pave,,IR1,Lvl,,Corner,,,Norm,,1Fam,1Story,9.0,5.0,2002.0,2002.0,Hip,CompShg,VinylSd,VinylSd,Stone,215,Gd,TA,PConc,Gd,TA,Av,GLQ,1059.0,Unf,0.0,567.0,1626.0,GasA,Ex,Y,SBrkr,1668.0,0.0,,,1.0,0.0,2.0,,3.0,,Gd,7.0,Typ,1.0,,,,Fin,3.0,702.0,TA,TA,Y,257.0,45.0,0.0,0.0,0.0,,NA,NA,NA,,7.0,2007.0,WD,Normal,285000
20.0,FV,75,9000.0,Pave,NA,Reg,Lvl,AllPub,,Gtl,Somerst,,Norm,1Fam,1Story,8.0,5.0,,2008.0,Gable,CompShg,,VinylSd,Stone,36,Gd,TA,PConc,,,,GLQ,1078.0,Unf,,488.0,1566.0,,Ex,Y,SBrkr,1566.0,,0.0,1566.0,1.0,0.0,2.0,0.0,3.0,1.0,,7.0,Typ,,NA,Attchd,2008,,,750.0,TA,TA,Y,144.0,168.0,,0.0,0.0,0.0,NA,,,0.0,4.0,,WD,Normal,262500
,RL,60,10134.0,Pave,NA,Reg,Lvl,AllPub,,Gtl,OldTown,,Norm,,1.5Fin,,,1940.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,,TA,TA,CBlock,TA,,No,Unf,0.0,Unf,0.0,,735.0,,Gd,Y,FuseA,735.0,299.0,0.0,,0.0,0.0,1.0,,2.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,,,,240.0,TA,,Y,0.0,39.0,,0.0,0.0,0.0,NA,NA,,,7.0,,WD,Normal,109000
60.0,RL,75,,Pave,NA,Reg,Lvl,,Inside,,Somerst,Norm,,1Fam,2Story,7.0,5.0,,,Gable,CompShg,,VinylSd,None,0,Gd,TA,PConc,Gd,,Mn,GLQ,,Unf,,772.0,1113.0,GasA,Ex,Y,SBrkr,1113.0,858.0,0.0,1971.0,0.0,0.0,2.0,,3.0,,Gd,8.0,Typ,1.0,,Attchd,,RFn,2.0,689.0,TA,TA,Y,0.0,,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,2.0,2009.0,WD,Normal,253000
,RM,NA,3072.0,Pave,NA,Reg,,AllPub,Inside,,Blmngtn,,Norm,TwnhsE,,7.0,,,2004.0,,CompShg,VinylSd,VinylSd,BrkFace,18,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,,,1375.0,GasA,,Y,SBrkr,,0.0,0.0,1414.0,0.0,,2.0,0.0,2.0,1.0,Gd,,,1.0,TA,Attchd,,,2.0,,TA,,Y,144.0,20.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2006.0,,Normal,178740
45.0,RM,,6380.0,,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,,1Fam,1.5Unf,,6.0,1922.0,,Gable,CompShg,MetalSd,MetalSd,None,0,,TA,BrkTil,TA,Fa,No,Unf,,Unf,0.0,993.0,,GasA,,Y,FuseA,1048.0,0.0,,1048.0,0.0,0.0,1.0,0.0,2.0,1.0,,5.0,Typ,1.0,Gd,Detchd,1922,Unf,1.0,280.0,TA,TA,,0.0,0.0,116.0,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2006.0,,Normal,113000
60.0,RL,NA,13517.0,,NA,IR1,Lvl,AllPub,CulDSac,Gtl,,RRAe,Norm,1Fam,2Story,6.0,8.0,1976.0,2005.0,,CompShg,HdBoard,,,289,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,,725.0,GasA,Ex,,SBrkr,725.0,754.0,0.0,1479.0,0.0,0.0,2.0,,3.0,1.0,Gd,6.0,Typ,,NA,Attchd,1976,RFn,2.0,475.0,TA,TA,Y,0.0,,0.0,0.0,0.0,,,NA,,0.0,3.0,2010.0,WD,Normal,130500
20.0,,65,6768.0,Pave,NA,,Lvl,,Inside,,,Feedr,Norm,1Fam,,6.0,8.0,1961.0,1996.0,,CompShg,HdBoard,,,0,TA,Gd,CBlock,TA,TA,,GLQ,832.0,,0.0,80.0,912.0,GasA,Gd,Y,SBrkr,912.0,,0.0,,1.0,1.0,1.0,0.0,3.0,1.0,Gd,5.0,Typ,,NA,Detchd,1962,,1.0,,TA,TA,Y,168.0,,0.0,0.0,0.0,0.0,NA,GdPrv,NA,0.0,5.0,,WD,Normal,142000
20.0,RL,,21750.0,Pave,NA,Reg,HLS,AllPub,,,,Artery,Norm,,1Story,5.0,5.0,1954.0,1954.0,Hip,,,HdBoard,None,0,TA,,CBlock,TA,TA,,Unf,0.0,,,988.0,988.0,GasA,Ex,Y,FuseA,988.0,,0.0,988.0,,0.0,1.0,,2.0,1.0,TA,4.0,,0.0,NA,,1954,RFn,,520.0,TA,TA,N,0.0,,0.0,,,0.0,NA,,,0.0,2.0,,WD,Normal,113000
20.0,RL,98,16033.0,Pave,NA,IR1,Lvl,AllPub,,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9.0,5.0,2004.0,2005.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,378,Gd,TA,PConc,,TA,Gd,GLQ,1261.0,Unf,0.0,,1833.0,GasA,Ex,Y,SBrkr,1850.0,0.0,0.0,1850.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,8.0,Typ,1.0,Gd,Attchd,2004,Fin,3.0,772.0,,,Y,519.0,112.0,,0.0,0.0,0.0,NA,NA,NA,0.0,3.0,2006.0,WD,Normal,326000
20.0,RL,NA,26142.0,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,,,Norm,1Fam,1Story,5.0,7.0,1962.0,1962.0,,CompShg,HdBoard,HdBoard,BrkFace,,TA,TA,CBlock,TA,TA,,Rec,593.0,Unf,0.0,,1188.0,GasA,TA,Y,SBrkr,,0.0,,1188.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,NA,Attchd,1962,Unf,1.0,312.0,TA,TA,P,261.0,,,0.0,0.0,0.0,,,NA,0.0,4.0,2010.0,WD,Normal,157900
20.0,RL,,,Pave,NA,,,AllPub,,,NAmes,Norm,,1Fam,1Story,7.0,6.0,1973.0,1973.0,Gable,,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,,,Gd,ALQ,1880.0,Unf,,,2223.0,GasA,Ex,Y,SBrkr,2223.0,0.0,0.0,,1.0,0.0,2.0,0.0,,1.0,,,Typ,2.0,Gd,Attchd,1973,,2.0,516.0,,TA,,,0.0,,0.0,0.0,0.0,NA,,NA,0.0,2.0,,,,244000
20.0,RL,107,13891.0,Pave,NA,,Lvl,AllPub,,Gtl,NridgHt,Norm,Norm,1Fam,,,5.0,2007.0,2008.0,Hip,CompShg,VinylSd,,Stone,,Gd,TA,,Ex,,Gd,GLQ,1400.0,Unf,0.0,310.0,1710.0,,,Y,,1710.0,,0.0,,1.0,0.0,2.0,0.0,2.0,,Gd,6.0,Typ,1.0,,Attchd,2007,RFn,3.0,866.0,TA,TA,Y,0.0,102.0,0.0,0.0,,0.0,NA,NA,NA,0.0,,2008.0,,Partial,372402
20.0,RL,60,7180.0,,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,,7.0,,1972.0,,,HdBoard,HdBoard,None,0,,TA,CBlock,TA,TA,Av,ALQ,390.0,Unf,0.0,474.0,864.0,,TA,Y,SBrkr,864.0,0.0,,864.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,,Typ,0.0,NA,,1989,Unf,1.0,352.0,,TA,Y,,0.0,0.0,0.0,,,NA,NA,,0.0,5.0,2008.0,WD,,127000
,,60,10440.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,,OldTown,Norm,Norm,,1.5Fin,6.0,7.0,1920.0,1950.0,Gable,,,Wd Sdng,,0,Gd,Gd,BrkTil,Gd,TA,No,LwQ,493.0,,,1017.0,1510.0,GasW,Ex,Y,SBrkr,1584.0,1208.0,0.0,2792.0,0.0,0.0,,0.0,5.0,1.0,,8.0,,2.0,TA,Detchd,,Unf,2.0,520.0,Fa,TA,Y,,,0.0,0.0,,,NA,MnPrv,Shed,1150.0,,,WD,Normal,256000
20.0,RL,73,8990.0,Pave,NA,IR1,Lvl,AllPub,Inside,,CollgCr,Norm,Norm,1Fam,1Story,7.0,5.0,2006.0,2006.0,Gable,CompShg,VinylSd,,,0,,,PConc,Gd,TA,Mn,Unf,0.0,Unf,0.0,1498.0,,GasA,Ex,Y,SBrkr,1498.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,Gd,5.0,Typ,,NA,Attchd,2006,RFn,2.0,,TA,TA,Y,351.0,33.0,,0.0,0.0,0.0,NA,NA,NA,0.0,,2006.0,New,Partial,204900
120.0,RL,61,7577.0,Pave,,,Lvl,,Corner,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,6.0,5.0,2005.0,2006.0,Gable,CompShg,VinylSd,VinylSd,Stone,,Gd,,PConc,Gd,TA,Av,ALQ,20.0,Unf,0.0,1342.0,1362.0,GasA,Ex,Y,SBrkr,1362.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,1.0,Gd,6.0,,1.0,Gd,Attchd,2005,RFn,2.0,460.0,TA,,,,28.0,0.0,,0.0,0.0,NA,NA,,0.0,6.0,2007.0,WD,,194700
75.0,RL,102,15863.0,Pave,,Reg,,AllPub,Corner,,SWISU,,Norm,1Fam,2.5Fin,7.0,3.0,1920.0,1970.0,,CompShg,,Plywood,None,0,TA,TA,,TA,,,GLQ,,Unf,0.0,301.0,824.0,GasA,Ex,Y,,1687.0,998.0,,3082.0,1.0,0.0,2.0,1.0,5.0,1.0,TA,12.0,Typ,2.0,TA,Basment,1970,Fin,2.0,,TA,TA,Y,,63.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2009.0,WD,Normal,197000
20.0,,75,,Pave,NA,,Lvl,,Corner,,NAmes,Norm,Norm,1Fam,,5.0,6.0,1959.0,2002.0,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,,TA,TA,No,Rec,405.0,Unf,0.0,658.0,1063.0,GasA,Gd,Y,SBrkr,1327.0,0.0,0.0,1327.0,1.0,0.0,,0.0,3.0,1.0,Gd,7.0,Typ,0.0,NA,Detchd,,Unf,2.0,624.0,TA,TA,Y,0.0,,0.0,0.0,0.0,0.0,,NA,,0.0,7.0,2007.0,,Normal,150750
50.0,RM,NA,,Pave,NA,Reg,Lvl,,Corner,,IDOTRR,Norm,,1Fam,1.5Fin,,,1931.0,1950.0,,,Stucco,Stucco,BrkFace,600,TA,Fa,PConc,,,No,LwQ,224.0,Unf,0.0,,,GasA,Ex,,FuseF,1226.0,592.0,0.0,,0.0,0.0,,1.0,4.0,,TA,7.0,Typ,2.0,,Detchd,1951,Unf,1.0,,TA,TA,Y,0.0,0.0,0.0,,,0.0,NA,NA,NA,0.0,6.0,2007.0,WD,,169500
20.0,,67,16285.0,,NA,,,,Inside,Gtl,,,Norm,1Fam,1Story,7.0,5.0,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,None,,Gd,,PConc,,TA,No,Unf,0.0,Unf,0.0,1413.0,,,,Y,,1430.0,0.0,0.0,1430.0,0.0,0.0,,0.0,3.0,1.0,Gd,,Typ,0.0,NA,Attchd,2001,RFn,,605.0,TA,TA,Y,0.0,,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2009.0,WD,Normal,187100
30.0,,47,4608.0,Pave,NA,,Lvl,AllPub,,,OldTown,Artery,Norm,,1Story,4.0,,1945.0,1950.0,Gable,CompShg,MetalSd,,None,0,,,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,747.0,,,TA,,SBrkr,747.0,0.0,0.0,747.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,NA,Attchd,1945,Unf,1.0,,TA,,Y,0.0,0.0,0.0,,,0.0,NA,NA,NA,0.0,6.0,2010.0,WD,Normal,80000
20.0,RL,,7800.0,Pave,NA,Reg,Lvl,,,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1954.0,1954.0,Gable,,HdBoard,HdBoard,BrkFace,200,,TA,PConc,TA,TA,No,LwQ,540.0,,,,1268.0,GasA,Gd,Y,,1268.0,0.0,0.0,,0.0,0.0,1.0,0.0,2.0,1.0,,7.0,Typ,1.0,Gd,Attchd,1954,Fin,1.0,244.0,,,,,,0.0,0.0,,0.0,NA,,NA,0.0,3.0,2010.0,WD,Normal,132000
60.0,RL,77,11198.0,Pave,NA,IR1,,AllPub,,Gtl,StoneBr,Norm,,1Fam,2Story,9.0,,2005.0,2007.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,245,,TA,PConc,Gd,Gd,,Unf,,Unf,0.0,1122.0,1122.0,GasA,,Y,SBrkr,1134.0,,0.0,2504.0,0.0,0.0,,1.0,4.0,1.0,Ex,11.0,Typ,1.0,,BuiltIn,2005,Fin,3.0,656.0,TA,TA,Y,144.0,39.0,0.0,0.0,0.0,0.0,NA,NA,NA,,6.0,2008.0,,,325000
50.0,RL,51,,Pave,NA,Reg,,,Inside,Gtl,SWISU,,Norm,1Fam,1.5Fin,6.0,,1925.0,1990.0,Gable,CompShg,WdShing,Wd Shng,None,0,TA,TA,,TA,TA,No,BLQ,264.0,Unf,0.0,712.0,976.0,,Ex,Y,SBrkr,1160.0,448.0,,,0.0,0.0,2.0,1.0,,,Gd,7.0,Typ,1.0,,Detchd,1925,Unf,,216.0,Fa,TA,Y,,16.0,0.0,0.0,0.0,,NA,MnPrv,,0.0,10.0,,WD,Normal,137450
80.0,RL,92,6930.0,Pave,,IR1,Lvl,,,Gtl,ClearCr,,,1Fam,SLvl,5.0,4.0,,1958.0,Hip,CompShg,,,BrkFace,120,,TA,CBlock,TA,,Av,BLQ,300.0,,294.0,468.0,1062.0,GasA,Ex,Y,,1352.0,0.0,0.0,1352.0,0.0,,1.0,,3.0,,,6.0,Min2,0.0,NA,BuiltIn,1958,Unf,,,TA,TA,,168.0,0.0,,,0.0,0.0,NA,,NA,0.0,7.0,2006.0,WD,Abnorml,130000
120.0,FV,,3316.0,Pave,,IR1,,,Inside,Gtl,Somerst,,Norm,,1Story,8.0,5.0,2005.0,2005.0,Gable,CompShg,MetalSd,,None,,,TA,PConc,,TA,No,GLQ,1039.0,Unf,0.0,,1247.0,,Ex,Y,,1247.0,,0.0,,1.0,,,1.0,1.0,1.0,,4.0,Typ,,Gd,,2005,Fin,2.0,550.0,,TA,,0.0,84.0,,0.0,0.0,0.0,NA,NA,NA,0.0,4.0,2006.0,,,197000
,,72,,Pave,NA,Reg,,,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,,5.0,2009.0,2009.0,Gable,CompShg,CemntBd,CmentBd,Stone,72,Gd,TA,PConc,Gd,TA,Mn,GLQ,936.0,Unf,0.0,364.0,,GasA,,Y,SBrkr,1314.0,,0.0,1314.0,1.0,0.0,,0.0,3.0,1.0,Gd,6.0,Typ,0.0,,Attchd,2009,,,552.0,TA,TA,Y,135.0,112.0,0.0,,0.0,0.0,,NA,NA,0.0,,,New,Partial,229456
50.0,RL,50,,,NA,,,AllPub,,Gtl,,,Norm,1Fam,1.5Fin,6.0,6.0,1924.0,,,,MetalSd,MetalSd,None,0,,Gd,BrkTil,Fa,TA,No,LwQ,617.0,Unf,0.0,0.0,617.0,GasA,Gd,Y,SBrkr,865.0,445.0,0.0,1310.0,0.0,0.0,2.0,0.0,2.0,,TA,,Min1,0.0,NA,Attchd,1924,Unf,,398.0,TA,TA,Y,,0.0,126.0,0.0,0.0,,NA,NA,,0.0,5.0,2006.0,COD,Normal,112000
80.0,RL,72,7200.0,,NA,Reg,Lvl,AllPub,Inside,Gtl,,Norm,,1Fam,SLvl,6.0,6.0,1976.0,1976.0,,,,MetalSd,BrkFace,255,,,,TA,TA,Av,ALQ,631.0,,0.0,410.0,1041.0,,Ex,Y,SBrkr,1125.0,,0.0,1125.0,1.0,,1.0,,3.0,1.0,TA,6.0,Typ,1.0,Fa,Detchd,1977,Unf,1.0,352.0,TA,TA,,296.0,0.0,0.0,0.0,0.0,0.0,NA,GdWo,NA,0.0,,2009.0,,Abnorml,125000
,RM,92,5520.0,Pave,NA,Reg,,AllPub,Corner,Gtl,OldTown,Norm,,1Fam,,6.0,,1912.0,1950.0,Gable,CompShg,Wd Sdng,,,0,TA,,CBlock,TA,TA,,Unf,0.0,Unf,0.0,755.0,755.0,GasA,Ex,,SBrkr,929.0,929.0,,2229.0,0.0,0.0,1.0,0.0,5.0,1.0,,8.0,Typ,,,,NA,,0.0,0.0,NA,,Y,0.0,198.0,30.0,0.0,,0.0,,MnPrv,NA,0.0,7.0,2009.0,,,104000
20.0,RL,70,13300.0,Pave,NA,Reg,Lvl,AllPub,,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1956.0,2000.0,Hip,CompShg,,Wd Sdng,,,TA,TA,CBlock,Gd,TA,No,Rec,377.0,,0.0,,928.0,,TA,Y,SBrkr,928.0,,0.0,928.0,,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,NA,,,Unf,1.0,252.0,TA,,Y,261.0,0.0,156.0,,0.0,0.0,NA,NA,NA,,6.0,,WD,Normal,132000
,RL,,11911.0,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,,6.0,5.0,2005.0,2005.0,Gable,CompShg,VinylSd,VinylSd,None,,Gd,TA,PConc,Gd,TA,Av,,0.0,Unf,,684.0,684.0,,Ex,Y,SBrkr,684.0,876.0,0.0,1560.0,,,2.0,1.0,3.0,,Gd,6.0,Typ,,Gd,BuiltIn,2005,,2.0,400.0,TA,TA,Y,100.0,38.0,0.0,0.0,0.0,0.0,NA,,,,,2009.0,WD,Normal,174000
120.0,RL,40,5664.0,Pave,NA,,Lvl,AllPub,Inside,Gtl,StoneBr,,,,1Story,,5.0,,2000.0,,,CemntBd,CmentBd,None,,Gd,TA,PConc,Gd,TA,,GLQ,,Unf,,,1501.0,,Ex,Y,SBrkr,1659.0,0.0,0.0,1659.0,1.0,0.0,2.0,,2.0,1.0,,,Typ,,,Attchd,2000,Fin,2.0,499.0,,,Y,212.0,59.0,,0.0,0.0,0.0,NA,,,0.0,10.0,2009.0,WD,Normal,278000
30.0,RL,52,5825.0,,NA,IR1,Lvl,,Inside,Gtl,BrkSide,,Norm,,,,5.0,1926.0,1953.0,,CompShg,MetalSd,MetalSd,BrkFace,108,TA,Gd,PConc,Fa,TA,,Unf,0.0,,,600.0,600.0,GasA,Gd,,,,,0.0,747.0,0.0,0.0,1.0,0.0,1.0,1.0,,5.0,Typ,0.0,NA,Detchd,1953,,2.0,528.0,TA,,Y,0.0,,32.0,0.0,0.0,0.0,,,,0.0,6.0,2006.0,WD,,79900
120.0,RL,34,,Pave,NA,,Lvl,AllPub,Inside,,NridgHt,,Norm,Twnhs,1Story,7.0,,2007.0,,Gable,CompShg,,VinylSd,Stone,166,Gd,TA,PConc,Gd,TA,No,GLQ,904.0,Unf,0.0,410.0,1314.0,GasA,Ex,Y,,1314.0,,,1314.0,1.0,0.0,2.0,0.0,,1.0,Gd,,Typ,1.0,Gd,Attchd,2008,RFn,2.0,626.0,TA,TA,Y,172.0,62.0,0.0,0.0,,0.0,NA,NA,NA,0.0,7.0,2009.0,WD,Normal,230000
60.0,RL,80,9760.0,Pave,NA,,Lvl,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,2Story,6.0,6.0,1964.0,1964.0,,,HdBoard,HdBoard,BrkFace,360,TA,,CBlock,,,Gd,GLQ,674.0,LwQ,106.0,,780.0,GasA,TA,,SBrkr,798.0,813.0,0.0,1611.0,,0.0,1.0,1.0,4.0,1.0,TA,7.0,,0.0,NA,Attchd,1964,RFn,,,,TA,,328.0,,0.0,0.0,189.0,0.0,NA,NA,NA,0.0,,2008.0,WD,Normal,167900
20.0,RL,,,,NA,Reg,,AllPub,Inside,Gtl,NAmes,,Norm,,,7.0,5.0,1970.0,,Flat,Tar&Grv,Plywood,Plywood,,0,,,CBlock,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,1277.0,,,Y,,1277.0,0.0,0.0,,1.0,,1.0,0.0,2.0,1.0,TA,,,,Po,Attchd,1970,,2.0,526.0,TA,TA,Y,0.0,,0.0,,176.0,0.0,NA,,NA,0.0,4.0,2007.0,WD,,167000
45.0,,60,,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,,Norm,,,,3.0,,1950.0,,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,,Fa,No,Unf,0.0,,0.0,784.0,784.0,GasA,TA,,FuseA,,0.0,0.0,784.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,,,NA,Detchd,1950,,2.0,360.0,Fa,,N,0.0,0.0,91.0,0.0,0.0,0.0,NA,NA,NA,,,2009.0,WD,Normal,76000
60.0,RL,NA,12224.0,Pave,NA,IR1,,AllPub,Corner,,Gilbert,Norm,Norm,1Fam,2Story,,,2000.0,2000.0,Gable,,VinylSd,VinylSd,BrkFace,40,,TA,PConc,,,No,GLQ,695.0,,0.0,297.0,992.0,GasA,Ex,Y,SBrkr,1022.0,,,,1.0,0.0,,,3.0,,Gd,7.0,Typ,1.0,TA,BuiltIn,2000,RFn,2.0,390.0,TA,TA,Y,24.0,48.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2009.0,WD,Normal,244000
80.0,RL,NA,10784.0,Pave,NA,IR1,Lvl,AllPub,FR2,,Gilbert,Norm,Norm,1Fam,SLvl,7.0,,1991.0,1992.0,,CompShg,,,BrkFace,76,,TA,PConc,Gd,,No,,,Unf,0.0,,,GasA,Gd,,SBrkr,802.0,670.0,,1472.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,1.0,,Attchd,1991,,2.0,402.0,,,,164.0,0.0,0.0,,0.0,0.0,NA,NA,NA,,,2007.0,,Normal,160000
60.0,RL,NA,14541.0,Pave,NA,IR1,Lvl,,,Gtl,,Norm,,1Fam,2Story,8.0,7.0,,1993.0,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,Gd,PConc,Gd,Gd,,GLQ,1012.0,Unf,0.0,326.0,,GasA,Ex,Y,SBrkr,1352.0,,,,1.0,,2.0,1.0,,,Gd,10.0,Typ,1.0,TA,Attchd,1993,,3.0,796.0,TA,TA,Y,209.0,55.0,0.0,0.0,0.0,0.0,,,NA,0.0,,2006.0,WD,,310000
20.0,RL,105,11751.0,Pave,NA,,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,,,6.0,6.0,1977.0,1977.0,Hip,CompShg,,Plywood,BrkFace,,TA,TA,CBlock,Gd,,No,BLQ,705.0,Unf,,1139.0,1844.0,GasA,,Y,SBrkr,1844.0,0.0,0.0,1844.0,0.0,0.0,2.0,,3.0,,TA,7.0,Typ,,TA,Attchd,1977,RFn,2.0,546.0,TA,TA,,,122.0,0.0,0.0,0.0,0.0,NA,MnPrv,,0.0,1.0,,COD,,190000
,FV,72,,,NA,Reg,Lvl,,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7.0,5.0,2009.0,2009.0,Gable,CompShg,VinylSd,,None,,,TA,PConc,Gd,,No,GLQ,822.0,Unf,0.0,78.0,900.0,GasA,Ex,Y,,932.0,,0.0,,,0.0,2.0,,,1.0,Gd,7.0,Typ,1.0,TA,Attchd,2009,RFn,2.0,644.0,TA,TA,Y,168.0,108.0,,0.0,,,NA,NA,,0.0,7.0,2009.0,New,Partial,252678
60.0,RL,65,,Pave,,IR1,,,Inside,Gtl,CollgCr,Norm,,1Fam,2Story,,5.0,2004.0,,Gable,,VinylSd,VinylSd,,0,Gd,TA,PConc,,TA,No,Unf,0.0,Unf,0.0,,864.0,GasA,Ex,,SBrkr,864.0,,,,,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,0.0,NA,Attchd,2004,RFn,2.0,,TA,TA,Y,187.0,56.0,0.0,0.0,0.0,0.0,NA,,,0.0,4.0,2009.0,WD,,190000
160.0,RM,21,,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5.0,5.0,1971.0,1971.0,Gable,CompShg,HdBoard,,BrkFace,142,,,CBlock,TA,TA,,Unf,0.0,Unf,0.0,630.0,630.0,GasA,TA,Y,SBrkr,630.0,672.0,,1302.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,NA,Detchd,1991,Unf,,280.0,TA,TA,Y,0.0,0.0,,0.0,,,NA,NA,,0.0,,2009.0,COD,Abnorml,112000
,RL,NA,8755.0,,,IR1,,AllPub,,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7.0,5.0,1999.0,1999.0,,CompShg,VinylSd,VinylSd,BrkFace,298,Gd,TA,PConc,Gd,TA,No,ALQ,772.0,Unf,0.0,220.0,,GasA,Ex,Y,SBrkr,1022.0,1038.0,,,1.0,0.0,,1.0,3.0,1.0,Gd,8.0,Typ,1.0,,BuiltIn,1999,RFn,,390.0,TA,TA,Y,0.0,,0.0,168.0,,0.0,NA,GdPrv,NA,,6.0,2009.0,WD,,214000
